Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Herbaceous perennial,Monarde citron,22.5,3.5,18,0.25,3,30000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Summer"",""Spring""]",40,35,25,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,12,1,monarde citron
Flowering Plant,Montana Jack,18°C,10 mm,15°C,0.3 m³/m³,5 mm/day,8 hours,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate Regions"",""Mountainous Areas""]","[""Spring"",""Summer""]",50 km/h,35°C,50 mm,48 hours,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",8 weeks,24 inches,12 inches,1 inch,montana jack
Flower,Moravsky Div,22,5,18,0.3,4,18000,60,"[""Loam"",""Sandy Loam""]","[""Central Europe"",""Eastern Europe""]","[""Summer"",""Autumn""]",40,35,20,24,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,moravsky div
Flowering Plant,Morden Early,22,5,18,0.3,3,300,60,"[""Loam"",""Clay"",""Sandy""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Summer""]",40,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,morden early
Tomato,Mortgage Lifter,18,5,22,0.3,3,3000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""California"",""Florida"",""Texas""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,72,36,1,mortgage lifter
Flowering Plant,Moscow,20,10,15,0.4,5,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mild Temperate Regions"",""Moderate Rainfall Areas""]","[""Spring"",""Summer""]",25,35,20,24,"[""NPK"",""Compost""]",4,24,12,1,moscow
Vegetable,Moskvich,25,5,18,0.4,3,6000,60,"[""Loam"",""Clay""]","[""Temperate regions"",""Greenhouses""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,moskvich
Flowering plant,Mountain Sweet Yellow,20,5,15,0.3,3,6000,70,"[""Loam"",""Sandy loam""]","[""Mountains"",""Hills""]","[""Late spring"",""Summer""]",40,30,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.5,mountain sweet yellow
Flowering plant,Mrihani,25,5,20,0.25,3,18000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Monsoon season""]",20,40,50,48,"[""Organic compost"",""Slow-release fertilizer""]",4,36,12,2,mrihani
Flowering Plant,Muchacha,25.6,6.2,23.8,0.32,4.8,28500,65,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",25,38,50,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",8,24,12,0.5,muchacha
Fruit,Muscat,25,5,20,0.3,4,3600,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Middle East"",""California""]","[""Spring"",""Summer""]",40,40,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,36,1,muscat
Vegetable,Napoletano,25,5,20,0.3,4,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer"",""Phosphorus-based fertilizer""]",4,48,24,1,napoletano
Vegetable,Nardello,20,5,18,0.3,3,30000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""United States""]","[""Spring"",""Summer"",""Fall""]",40,35,50,48,"[""Compost"",""Organic fertilizer""]",4,24,12,1,nardello
