Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
Vegetable,Poivron Rosso,20,5,18,0.3,3,3600,60,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Mediterranean region"",""Southwestern Europe"",""Central America""]","[""Start of summer"",""Late spring"",""Early autumn""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,20,12,0.5,"poivron rosso
le sachet de 25 graines"
Vegetable,Poivron Oro,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Spring"",""Summer""]",40,35,30,48,"[""NPK 10-10-10"",""Organic Compost""]",4,36,12,1,poivron oro
Vegetable,Poivron Sweet Cherry,25,5,20,0.3,4,6000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Mediterranean region"",""Southwestern United States"",""Central America""]","[""Start summer"",""Spring"",""Autumn""]",40,35,40,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,"poivron sweet cherry
le sachet de 25 graines"
Vegetable,Poivron Mandarine,20,5,18,0.25,4,3600,60,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""France"",""Spain"",""Italy""]","[""Start summer"",""Late summer"",""Early autumn""]",40,35,20,48,"[""NPK 20-20-20"",""Organic compost""]",4,24,12,0.5,"poivron mandarine
le sachet de 25 graines"
Vegetable,Poivron Corno di Toro Jaune,20,5,15,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",30,40,20,48,"[""Compost"",""Organic Fertilizer""]",4,24,12,1,"poivron corno di toro jaune
le sachet de 25 graines"
Vegetable,Poivron Corno di Toro Rouge,20,5,18,0.3,3,3600,60,"[""Loamy"",""Sandy"",""Clay""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""Organic compost"",""NPK fertilizer""]",4,36,24,0.5,"poivron corno di toro rouge
le sachet de 25 graines"
Vegetable,Poivron Pantos,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Southwestern United States"",""Central and South America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",3,36,12,2,"poivron pantos
le sachet de 25 graines"
Vegetable,Poivron Chocolat (Sweet Chocolate),20-30,0-5,15-25,0.2-0.4,3-5,6-8,40-60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Start of Summer"",""Mid-Summer"",""Late Summer""]",20-30,35-40,50-100,48-72,"[""NPK 10-10-10"",""Compost""]",2-3,24-36,12-18,0.5-1,"poivron chocolat (sweet chocolate)
le sachet de 25 graines"
Vegetable,Poivron Doux d'Espagne,18,3,15,0.3,4,6000,70,"[""Sandy loam"",""Loamy sand""]","[""Spain"",""France"",""Italy""]","[""Spring"",""Summer""]",30,35,10,48,"[""NPK 10-10-10"",""Compost""]",3,24,12,0.5,"poivron doux d'espagne
le sachet de 25 graines"
Vegetable,Poivron Tequila Sunrise,20,5,18,0.2,3,3000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Southwestern United States"",""Mexico""]","[""Spring"",""Summer""]",40,35,15,48,"[""NPK 20-20-20"",""Compost""]",2,24,12,0.5,"poivron tequila sunrise
le sachet de 25 graines"
Vegetable,Poivron Quadrato d'Asti Giallo,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Warm temperate regions""]","[""Spring"",""Summer""]",40,35,20,24,"[""NPK 20-20-20"",""Organic compost""]",2,24,16,0.5,"poivron quadrato d'asti giallo
le sachet de 25 graines"
Vegetable,Poivron California Wonder Orange,22.5,3.5,18,0.25,4.2,25000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Southern California"",""Florida"",""Texas""]","[""Start summer"",""Spring"",""Fall""]",40,35,50,48,"[""NPK 10-10-10"",""Compost"",""Organic fertilizer""]",4,36,24,0.5,"poivron california wonder orange
le sachet de 25 graines"
Vegetable,Poivron mini bell chocolat,25,5,20,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southwestern United States"",""Southeast Asia""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,"poivron mini bell chocolat
le sachet de 25 graines"
