Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temperature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Vegetable,Stamdoperwt Kelvedon Wonder,18,5,15,0.25,3,24000,70,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,40,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,2,stamdoperwt kelvedon wonder
Flowering plant,Stampeul Norli,25,5,18,0.3,4,8000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""NPK"",""Organic compost""]",4,24,12,1,stampeul norli
Flowering plant,Stamslaboon Creso,20-25,5-10,15-20,0.3-0.5,4-6,8000-9000,60-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30-40,35-40,50-75,24-48,"[""NPK fertilizer"",""Organic compost""]",4-6,18-24,12-16,0.5-1,stamslaboon creso
Flowering Plant,Stamslaboon Maxi,25,5,20,0.3,3,600,60,"[""Loam"",""Sandy Loam""]","[""Temperate Regions"",""Subtropical Regions""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,20,48,"[""NPK Fertilizer"",""Compost""]",4,24,12,2,stamslaboon maxi
Leafy vegetable,Stengelsla Chinesische Keule,20,5,18,0.3,3,3000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",20,35,50,48,"[""NPK fertilizer"",""Compost""]",4,12,8,0.5,stengelsla chinesische keule
Vegetable,Stengelui Long White Ishikura,20,5,18,0.3,3,6000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Mild Temperate Regions"",""Cool Temperate Regions""]","[""Spring"",""Autumn""]",30,35,20,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,20,12,0.5,stengelui long white ishikura
Perennial,Stokroos,18,5,15,0.4,3,6000,70,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Early summer"",""Late summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,24,0.5,stokroos
Vegetable,Suikererwt Ambrosia,18,5,15,0.4,3,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""NPK 5-10-15""]",4,60,12,2,suikererwt ambrosia
Vegetable,Suikermaïs Tramunt,24,5,18,0.25,4,300,70,"[""Loam"",""Sandy loam"",""Silt loam""]","[""North America"",""Europe"",""Asia""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,80,12,2,suikermaïs tramunt
Herb,Thijm,20,5,18,0.3,3,6000,50,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,12,0.5,thijm
