,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Sunshine Duration,Humidity(%),Rainfall Alert Maximum Rain (mm)
0,22.5,3.5,18,30000,70,25
1,18°C,10 mm,15°C,8 hours,60%,50 mm
2,22,5,18,18000,60,20
3,22,5,18,300,60,20
4,18,5,22,3000,70,50
5,20,10,15,6000,60,20
6,25,5,18,6000,60,20
7,20,5,15,6000,70,20
8,25,5,20,18000,60,50
9,25.6,6.2,23.8,28500,65,50
10,25,5,20,3600,60,20
11,25,5,20,3000,60,20
12,20,5,18,30000,60,50
13,20,5,15,600,60,30
14,21,5,18,5000,60,50
15,18,5,14,30000,70,20
16,25,10,28,3600,70,100
17,25,5,20,3600,70,20
18,18,5,15,24000,60,10
19,20,5,18,5000,60,20
20,18,4,15,3000,60,20
21,25,5,20,3600,60,15
22,22,5,18,3600,60,20
23,25,10,20,3600,60,50
24,25,10,20,6000,60,50
25,25,10,20,18000,60,20
26,20,5,18,3600,70,20
27,20 °C,5 mm,18 °C,600 seconds,60%,20 mm
28,22,5,18,3600,60,20
29,25,10,20,6000,70,50
30,25,5,20,30000,60,20
31,25,10,20,6000,60,50
32,18-25,2-4,15-20,2400-2800,40-70,50-100
33,25,5,20,6000,60,20
34,25,5,20,6000,70,50
35,25,5,20,3600,70,30
36,25,5,20,300,60,50
37,25,5,20,3600,60,50
38,22,5,18,3600,65,50
39,25,5,20,3600,70,50
40,20,5,15,600,70,30
41,20,5,15,3600,60,20
42,25,10,20,6000,60,50
43,25,5,20,600,70,20
44,25,5,20,8000,60,50
45,25,10,20,3600,70,50
46,25,5,18,6000,60,20
47,25,5,20,3600,70,50
48,25,5,22,6000,70,10
49,24.5,2.3,18.7,28800,65,30
50,25,5,20,6000,60,10
51,20,5,18,12000,70,50
52,25,5,20,3600,60,50
53,24.5,8.7,21.3,43200,70,30
54,20,5,18,300,60,20
55,25,5,20,3000,70,20
56,22,5,18,3000,70,20
57,20,5,18,3000,60,50
58,22,3,18,6000,70,20
59,25,5,20,3000,70,20
60,18-25,5-10,15-20,4000-5000,40-60,50-100
61,25,10,20,6000,60,50
62,25,5,20,6000,60,50
63,22,10,18,28800,60,50
64,25,5,20,60000,60,10
65,20,5,15,6000,60,20
66,22,10,18,6000,60,20
67,25,5,20,24000,60,20
68,28.5,8.2,26.3,3600,75,15
69,15,5,18,18000,70,10
70,18,5,20,3000,65,20
71,24,5,20,6000,60,50
72,20,5,18,18000,70,20
73,25,5,20,6000,60,20
74,25,5,20,6000,70,20
75,25,5,20,6000,70,30
76,25,5,20,6000,60,20
77,18,3,16,3000,60,20
78,20,5,15,6000,70,20
79,25,5,20,3600,70,20
80,25,5,20,600,60,50
81,22,5,18,6000,70,20
82,26,5,24,7200,70,20
83,20,5,18,12000,60,50
84,20,5,18,30000,60,10
85,20 °C,5 mm,18 °C,600 seconds,60%,20 mm
86,15,5,12,30000,70,20
87,15-25,2-5,10-15,2000-2500,50-70,20
88,20-25,10-15,15-20,6000-8000,60-70,20-30
89,20,5,18,3600,60,20
90,22,5,18,6000,70,50
91,25,5,20,3600,60,20
92,20,5,15,6000,50,20
93,25,5,20,3600,70,20
94,25,5,20,6000,60,10
95,24,4,20,600,60,20
96,25,5,20,6000,60,20
97,20,5,18,3600,70,20
98,25,5,20,6000,60,20
99,25.6,4.9,22.3,28800,65,30
100,22,5,18,3600,60,15
101,27.5,5.6,25.2,43200,75,50
102,20,5,18,6000,60,20
103,20 °C,5 mm,25 °C,600 seconds,60%,20 mm
104,25,10,20,6000,70,50
105,20,5,18,600,60,10
106,25,5,20,6000,70,20
107,20,5,18,18000,60,20
108,15,5,10,6000,70,10
109,18,5,15,6000,60,50
110,22,5,18,600,60,50
111,22,5,18,3000,60,15
112,25,5,20,6000,60,30
113,22.5,8.7,18.3,28800,65,50
114,25,5,20,5000,60,20
115,18,5,15,6000,60,20
116,25,10,20,5000,60,50
117,20,5,15,6000,60,20
